Name;Price;Calories;Description
Big Mac Sandwich;18.18;550;100% grilled beef 2 patties, special Big Mac sauce, cheese, crunchy lettuce, fresh onions, pickle slices
Big Mac Chicken Sandwich;23.18;280;Two 100% chicken pieces covered with tasty mayonnaise and mustard, crunchy lettuce, fresh onions & pickles
Spicy Big Mac Chicken Sandwich;23.18;280;apart from 2 breaded spicy crispy chicken patties with crisp lettuce, cheese and the very delicious Mayo sauce
Big Mac Medium Value Meal;25.91;1,130;100% grilled beef 2 patties,cheese, crunchy lettuce, fresh onions, pickle slices, Meduim Fries and Meduim Soda
Big Mac Large Value Meal;29.09;1,350;100% grilled beef 2 patties,cheese, crunchy lettuce, fresh onions, pickle slices,Large Fries and Large Soda
Big Mac chicken Medinm Value Meal;33.18;1,130;100% white meat grilled chicken breast 2 filet pieces, tasty mayonnaise, mustard, crunchy lettuce, fresh onions, pickle slices with Meduim coke and Meduim fries
Big Mac chicken Large Value Meal;36.36;1,350;100% white meat grilled chicken breast 2 filet pieces, tasty mayonnaise, mustard, crunchy lettuce, fresh onions, pickle slices with large coke and large fries
Double Cheeseburger sandwich;13.4;440;Two slices of golden American cheese with two 100% all-beef patties, pickles, onions, ketchup and mustard on a toasted bun
Double Cheeseburger Meduim Value Meal;23.64;712;100% grilled beef 2 patties, 2 cheese slices, ketchup, mustard, fresh onions, pickle slices, fresh buns, Meduim Fries, Meduim Coke
Double Cheeseburger Large Value Meal;26.82;992;100% grilled beef 2 patties, 2 cheese slices, ketchup, mustard, fresh onions, pickle slices, fresh buns, Large Fries, Large Coke
Big Tasty Sandwich  ;27.27;460;Pure grilled beef patty wrapped in 3 layers of Emmental cheese covered with a special tasty sauce, crunchy lettuce, fresh tomatoes & onions 
Double Big Tasty Sandwich;33.64;550;100% beef 2 patties, 3 Emmental cheese slices, tasty sauce, crunchy lettuce, fresh tomatoes, onions all wrapped in a sesame bun.
Big Tasty Medium Value Meal;37.73;843;100% beef patty, Emmental cheese, tasty sauce, crunchy lettuce, fresh tomatoes, onions,Meduim McFries?,,meduim Coca-Cola drink
Big Tasty large Value Meal;40.91;1140;100% beef patty, Emmental cheese, tasty sauce, crunchy lettuce, fresh tomatoes, onions,large McFries?,large Coca-Cola drink
Double Big Tasty Medium Value Meal;37.73;993;100% beef patty, Emmental cheese, tasty sauce, crunchy lettuce, fresh tomatoes, onions,Large McFries?,,Large Coca-Cola drink
Double Big Tasty large Value Meal;40.91;1230;100% beef patty, Emmental cheese, tasty sauce, crunchy lettuce, fresh tomatoes, onions,large McFries?,large Coca-Cola drink
McRoyale Sandwich;24.09;540;Pure grilled beef patty covered with a special McRoyale sauce, cheese, crunchy lettuce, fresh onions
McRoyale Medium Value Meal;35;833;100% grilled beef patty, special McRoyale? sauce, cheese, crunchy lettuce, fresh onions, pickle slices, Medium McFries?,  Medium Coca-Cola drink.
McRoyale Large Value Meal;38.17;1220;100% grilled beef patty, special McRoyale? sauce, cheese, crunchy lettuce, fresh onions, pickle slices, LArge McFries?,  Large Coca-Cola drink.
Douple McRoyale;31.36;579.9;100% grilled beef 2 patties covered with a special McRoyale sauce, cheese, crunchy lettuce, fresh onions & pickles
Douple McRoyale Medium Value Meal;41.81;872.9;100% grilled beef 2 patties covered with a special McRoyale sauce, cheese, crunchy lettuce, fresh onions & pickles, Medium McFries?, Medium Coca-Cola drink.
Douple McRoyale large Value Meal;44.99;1259.9;100% grilled beef 2 patties covered with a special McRoyale sauce, cheese, crunchy lettuce, fresh onions & pickles, large McFries?, large Coca-Cola drink
McArabia Kofta Sandwich;21.36;590;Grilled kofta 2 patties covered with tehina sauce, fresh lettuce, tomatoes & onions all wrapped in savory Arabic bread
McArabia Kofta Medium Value Meal;30.91;883;100% grilled kofta patties, tehina sauces, fresh lettuce, tomatoes, onions, savory Arabic bread,Medium McFries?, Medium Coca-Cola drink
McArabia Kofta Large Value Meal;34.08;980;100% grilled kofta patties, tehina sauces, fresh lettuce, tomatoes, onions, savory Arabic bread,Large McFries?, Large Coca-Cola drink
McArabia Chicken Sandwich;21.36;566;Two 100% chicken 2 patties covered with tehina sauce, fresh lettuce, tomatoes & onions all wrapped in savory Arabic bread
McArabia Chicken Medium Value Meal;30.91;859;100% grilled chicken 2 patties, special garlic sauce, crunchy lettuce, fresh tomatoes, onions, savory Arabic bread, Medium McFries?,Medium Coca-Cola drink.
McArabia Chicken Large Value Meal;34.08;1230;100% grilled chicken 2 patties, special garlic sauce, crunchy lettuce, fresh tomatoes, onions, savory Arabic bread, Large McFries?,Large Coca-Cola drink.
Chicken MACDO Sandwich;7.27;250;Sometimes, it`s the simple things that win you over. That`s our chicken MACDO for you. Just a breaded chicken patty with crunchy lettuce, mayo. 
Chicken MACDO Spicy Sandwich;8.18;370;Crispy tender spicy chicken Pattie seasoned with a bold mix of spices, topped with shredded iceberg lettuce, mayonnaise and served on a perfectly toasty bun
